Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Fcgr4,0,0,0,0,0,40
LOC102638466,0,0,0,0,0,0
Gm34968,0,0,0,0,0,0
Fcgr2b,0,295,37,3,13,0
Gm39701,0,0,0,8,0,0
Fcrla,226,0,0,0,0,0
Fcrlb,0,0,0,0,0,0
Dusp12,27,141,147,48,34,22
Gm29733,0,0,3,0,21,0
Atf6,791,873,726,1177,1302,823
Olfml2b,25,110,201,92,93,280
LOC108167745,0,0,0,2,7,47
Nos1ap,1266,1483,999,2816,2066,2167
1700015E13Rik,0,0,0,0,0,0
Gm7694,0,0,156,27,24,37
Sh2d1b1,0,0,0,0,0,0
Gm6345,0,2,0,1,5,0
Sh2d1b2,0,0,0,0,0,0
Uhmk1,438,498,766,911,507,918
Uap1,205,402,550,651,422,428
Ddr2,476,382,228,79,139,52
3110045C21Rik,0,0,46,3,1,1
Hsd17b7,283,337,273,513,296,184
Ccdc190,20,17,366,46,175,188
Gm39699,0,0,0,0,0,0
Gm39698,0,0,0,0,0,0
Rgs4,3264,3028,1915,4239,3918,1728
Rgs5,36887,37195,37846,2171,2505,2216
Gm34624,0,0,0,0,0,0
Nuf2,0,8,70,0,11,70
Gm34535,0,0,0,0,0,0
Gm34477,0,0,0,0,0,0
Gm34421,0,0,0,0,0,0
Gm39697,0,0,0,0,0,0
Mir6354,0,0,0,0,0,0
Gm34320,0,0,0,0,0,0
Mir6348,0,0,0,0,0,0
Gm39696,0,0,0,0,0,0
Pbx1,1384,1525,1647,3018,2294,2441
Lmx1a,2,0,0,0,0,11
Rxrg,334,102,6,199,357,12
Lrrc52,0,0,0,0,0,0
Gm34207,0,0,0,0,0,0
Mgst3,161,185,134,388,173,154
Aldh9a1,358,528,573,381,224,287
Tmco1,317,630,612,344,281,283
Mir6347,0,0,0,0,0,0
LOC102636733,0,0,0,0,0,0
LOC108167744,0,0,0,0,0,0
Uck2,119,395,137,127,278,194
Gm33668,0,0,0,0,0,0
Gm33610,2,0,0,0,0,1
Fam78b,131,315,131,560,572,345
Gm16701,14,3,1,9,2,13
LOC108167743,0,0,0,30,27,0
Gm33404,0,0,0,0,0,0
Fmo9,0,0,0,0,0,0
Gm4847,0,0,0,0,0,0
Gm4846,1,0,0,0,0,0
Gm33354,0,0,0,0,0,0
Gm39694,0,0,0,0,0,0
Pogk,233,1064,781,471,842,1246
Tada1,115,129,202,114,196,176
Ildr2,1040,1018,1863,1383,1897,2039
Mael,0,0,0,0,0,0
Gpa33,0,0,0,0,0,0
Dusp27,0,0,0,4,0,7
Gm39693,0,0,0,18,0,0
Gm33224,0,0,0,0,0,1
Pou2f1,290,351,231,227,175,264
Gm32999,0,0,0,0,0,0
Cd247,0,11,1,0,0,0
Creg1,562,496,109,282,323,451
LOC108167742,0,0,0,0,0,0
Rcsd1,75,372,147,30,16,28
n-TPcgg2,0,0,0,0,0,0
n-TPagg2,0,0,0,0,0,0
Mpzl1,1233,977,824,230,115,252
Adcy10,0,0,24,0,0,0
Mpc2,1049,502,519,712,580,670
Dcaf6,770,976,988,1102,1015,1344
Gpr161,224,108,204,91,148,137
Tiprl,268,492,443,265,184,436
Sft2d2,519,404,505,311,195,148
Tbx19,0,0,0,0,0,0
4930568G15Rik,0,0,0,0,0,0
1700029M03Rik,0,0,0,0,0,0
Gm39692,0,0,0,0,0,0
Xcl1,0,0,0,0,0,0
Gm20743,0,167,0,0,0,2
Gm32652,0,0,0,0,0,0
Gm32569,0,0,0,0,0,0
Dpt,0,64,53,0,0,0
Gm26685,1,0,0,0,0,0
Gm39691,0,0,0,0,0,0
Gm32459,0,0,0,0,0,0
LOC108167741,0,0,2,0,0,0
Gm32391,1,1,35,41,35,66
Atp1b1,13975,13396,16008,27181,24088,24828
Gm39690,0,0,0,0,0,0
Nme7,175,84,104,152,83,101
Blzf1,343,235,257,427,117,281
Ccdc181,287,93,285,263,233,210
Slc19a2,219,32,175,494,197,126
F5,27,174,167,2,0,7
Gm16548,0,0,0,0,0,0
Selp,0,0,0,0,0,0
Sell,0,28,0,0,0,0
Sele,0,0,0,0,0,0
Mettl18,12,5,8,35,10,41
BC055324,0,0,2,32,0,0
Scyl3,191,255,63,185,108,161
Kifap3,1427,2268,1406,4101,2732,3294
Mettl11b,0,1,0,0,0,28
Gm39689,0,0,0,0,0,0
Gm32333,0,0,0,0,0,0
Gorab,1,37,17,46,34,125
Gm20471,0,0,0,0,0,0
LOC108167740,0,0,0,0,0,0
LOC108167739,0,0,0,0,0,0
Prrx1,117,118,189,66,74,78
Mroh9,0,0,0,0,0,0
Fmo3,0,0,0,0,0,0
Gm32279,0,0,0,0,0,0
Fmo6,0,0,0,0,0,0
Fmo2,93,125,64,44,2,8
Gm32197,0,0,0,0,0,0
Fmo1,301,216,133,117,23,6
Fmo4,0,0,0,0,0,0
Prrc2c,2813,2942,3850,4483,4204,3939
7420461P10Rik,0,0,0,0,0,0
Myoc,0,0,4,4,13,2
Vamp4,995,519,1071,1107,786,792
Mettl13,185,28,85,51,81,53
Gm31985,0,0,0,0,0,0
Gm39688,0,0,0,0,0,0
Mir214,0,0,0,0,0,0
Mir199a-2,0,0,0,0,0,0
Dnm3os,0,0,1,0,0,0
2810442N19Rik,0,0,0,0,0,0
Dnm3,1596,1744,1461,2186,2074,3128
Pigc,116,41,121,87,168,191
4930558K02Rik,0,18,0,2,4,47
Gm31925,0,0,0,0,0,0
Suco,765,458,479,350,517,588
Fasl,0,0,0,0,0,0
Gm31869,0,0,0,0,0,0
Gm31815,0,0,0,0,0,0
Tnfsf18,0,0,0,0,0,0
Tnfsf4,0,0,0,0,0,0
Prdx6,2411,1375,1730,1527,1422,1458
4930469G21Rik,0,0,0,0,0,0
