Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
LOC108168062,0.0,0.0,0.0,0.0,0.0,0.0
1700024B18Rik,0.0,0.0,0.0,0.0,0.0,0.0
Fgf14,3.332460224710211,4.63393050574625,6.296560329929967,6.366785558238322,6.887754739381705,6.0871042717219135
Itgbl1,0.0,0.0,0.21744118607441285,0.0,0.22893426894846033,0.0
LOC108168206,0.0,0.0,0.0,0.0,0.0,0.0
Nalcn,15.486071110736237,10.981479528493516,17.53007903362858,20.10227727154321,26.36877928323395,24.98164561024547
AA536875,0.0,0.0,0.0,0.04391344013629898,0.0,0.0
Gm33906,0.0,0.0,0.0,0.0,0.0,0.0
Tmtc4,0.4507582295909249,3.3467824245482745,2.084018961786844,1.6393871841390826,3.291257967992268,4.745098453574431
Gm15735,1.0689556462924514,0.23739076635697648,0.0,0.14701549454632773,0.573903715309154,0.0
LOC108168204,0.0,0.0,0.0,0.0,0.0,0.33525152117645435
Ggact,0.0,2.4709916341419533,6.599118535793171,0.06278066872510056,1.3601751858790567,2.909365441685482
LOC108168205,0.0,0.0,0.03253047116628589,0.1462285502932817,0.06849980695427217,0.0
LOC108168203,0.0,0.0,0.09691231987056755,0.0,0.0,0.15649607106236343
Pcca,6.228333889419107,6.424116890745223,4.311812769880785,2.099731780265789,3.7830984787823656,2.739314771775157
Gm33769,0.3333148250277292,0.0,0.2889441487150653,0.0,0.0,0.0
Zic2,22.309063435560017,15.699954748106288,15.171018858372019,2.2281741687762944,2.4908233646036533,3.383701399780957
2610035F20Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm33719,0.0,20.620278190710664,6.483676603816398,0.3067888421160734,0.0,0.0
Zic5,16.202090229323645,1.1763072155967516,1.800676585770168,0.0,0.7109449661163096,0.043616561542956886
Gm5089,0.0,0.0,0.04384764413401383,0.0,0.0,0.0
1700108J01Rik,0.0,0.0,0.0,0.0,0.0,0.0
Clybl,1.346051382584954,5.8194421582415305,2.7101399289209795,2.5718440298203533,5.429361810492966,4.485801266119815
Tm9sf2,68.46055732905268,75.47002889093096,49.049618656964505,48.02237282949647,50.33964013836613,64.23471699865674
A330035P11Rik,0.0,5.011563386256908,0.0,0.14779278045134336,0.0,1.831702519979949
Timm8a2,0.0,0.0,0.0,0.661061500933016,0.0,0.0
Gm33473,0.0,0.10985081128834476,0.6774375932720401,0.0907071020253927,0.5159639404802713,0.013965199200364592
Gpr183,0.0,0.0,1.8935564878404005,0.03404709617637591,0.4784741784195422,0.9540196245034926
LOC108168201,0.0,4.255979733430561,0.0,0.0,0.3701876053380821,0.0
Gpr18,0.0,0.0,0.0,0.0,0.0,0.0
Ubac2,12.421088866169455,8.53109602962991,5.661836996092226,7.862438453949793,10.804492577162335,8.571426142601272
1810041H14Rik,0.0,0.0,0.0,0.39986649481396386,0.0,3.663007638562697
Dock9,41.04095312215393,32.326806467988355,37.19345753626505,17.553358996056872,13.529066672192616,21.461596128516792
Slc15a1,0.0,0.0,0.0,0.0,0.0,0.0
Gm33299,0.0,0.0,0.0,0.0,0.0,0.0
Stk24,18.17826252900781,16.457361618647113,17.84176950752854,17.554552749898765,19.111507458947184,17.029070007225563
B930095G15Rik,6.192388922353528,7.671707681134674,12.554164332322634,11.334865766771498,16.343771527224362,11.840525676757515
Farp1,13.20123478526258,9.266146600722564,22.043384290900065,10.62796336216149,12.610269358108095,14.403512602470968
