Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
FGF23,0.0,0.0,0.0,0.0,0.0,0.0
TIGAR,5.4038620668125725,1.1657574644659046,4.0306604024755375,4.565938267296025,4.468511936764873,1.308924687487412
CCND2,51.319586397095286,115.13088650944087,78.30545585099082,51.59402701111243,55.24986814489857,39.335940012454145
CCND2-AS1,0.0,0.0,0.0,0.0,0.18020153549076062,0.0
LOC105369612,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369611,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369608,0.0,0.05564734612659082,0.0,0.0,0.0,0.0
LOC105369609,0.0,0.0,0.0,0.0,0.0,0.0
PARP11,0.12791654758819315,0.16637338671470603,3.5577486969883405,1.5695095123405272,0.36046825511445335,1.2928415651250031
LOC107984495,0.0,0.0,0.0,0.0,0.0,0.0
CRACR2A,0.03210689084869802,2.839646583888753,0.0,0.0,0.0,0.0
THCAT155,0.22179208216731056,0.0,0.0,0.47864753749053246,0.0,0.2129040068928232
LOC105369607,0.0,0.0,0.0,0.0,0.0,0.0
PRMT8,1.4979240291620328,0.0,0.10227944794018705,6.858365831862262,2.337863909123534,0.44668378075972265
LOC101930162,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369606,0.0,0.0,0.0,0.0,0.0,0.0
LOC100128253,0.0,0.0,0.0,0.010233589819653405,0.0,0.0
TSPAN9,0.48339655340042953,4.003309722886912,11.229823198220808,0.8220717363687425,0.4203388730530459,0.3671406315490675
TEAD4,6.054667258158129,0.0,0.43576440406538736,0.0,0.0,0.0
TULP3,3.870978769303618,5.119367724800789,11.083028639692508,5.231110631778631,6.897959292393427,18.53723308833443
RHNO1,0.39467108907093745,7.199883548507496,0.8917489367285056,0.9366600422391776,0.7684162067375901,5.444385890299388
FOXM1,0.9531679132279244,0.0,0.0,0.0,0.0,0.0
LOC101929469,0.0,0.0,0.0,0.0,0.0,0.0
LOC100507424,0.0,0.0,0.0,0.0,0.9090212006968358,0.0
NRIP2,0.0,0.03701724165575893,0.029473767674031363,2.912543082103227,2.3579497821455813,3.7236980005123645
ITFG2,0.539415356429052,0.0,1.6416419737377241,1.3076092601004725,5.797981459304052,0.04267573150551284
LOC107984538,0.0,0.0,0.0,0.0,10.018475198868781,0.0
FKBP4,26.26399423615386,4.068296969430303,9.136341557221076,20.07931460296692,12.043606373878129,5.402185261193289
LOC283440,0.3096543746125744,0.0,0.0,0.0,0.0,11.489674637372588
LOC107984539,0.0,0.0,0.0,0.2840529654249026,0.0,0.0
CACNA1C-AS1,0.0,0.0,0.0,0.16559141482169215,0.0,0.0
CACNA1C-AS2,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1C-IT3,0.0,0.0,0.0,0.21469119479789153,1.158737780539426,0.0
CACNA1C-AS4,0.0,0.0,0.0,0.0,0.0,0.0
LOC107984131,3.488273892605378,1.055219445787175,0.20280302552946955,1.5848448714694137,2.4005748508918687,5.354864882467491
CACNA1C-IT2,0.0,0.0,0.0,0.0,0.0,0.0
LOC107984540,0.0,0.0,0.0,0.0,0.09520081120266599,0.0
LOC107984541,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1C,0.9928391311393295,1.6704127374340683,7.024526734800614,4.8420110884011685,2.4165753120246523,3.7944850431903436
DCP1B,0.02079659467228652,4.4205605096556155,0.2215212602176669,1.6938938305154743,0.0937675362280787,1.7506185394952576
LINC00940,0.0,0.0,0.0,0.0,1.9489654165875718,0.04163242599464252
LRTM2,4.752147163308266,0.6089490633825033,0.02424278851779688,8.256358784187682,0.25397727997921615,0.09075020012919296
LOC105369601,0.0,0.0,4.493706696616593,0.0,0.0,0.0
LOC105369602,0.0,0.0,0.0,0.0,0.0,0.0
CACNA2D4,0.0,0.0,0.0,0.0,0.010551826464039666,0.0
ADIPOR2,56.07800759280976,56.471642391143334,43.888370232106574,13.260670523809535,22.26914553852181,18.863071115477
MIR3649,0.0,0.0,0.0,0.0,0.0,0.0
WNT5B,2.4865474066953044,7.221645781263052,2.7618106403338345,1.7976090953436608,0.6899278174046949,0.0
FBXL14,13.112196780566983,0.32757259961265695,11.823793130886866,5.254448809947566,0.9108150730289131,0.0
LOC107984507,0.0,0.0,0.0,0.0,0.0,0.0
LINC00942,0.0,0.0,0.0,0.0,0.0,2.61816753848661
LOC107984458,0.0,0.0,0.0,0.0,0.0,0.0
LOC107987182,0.0,0.8251881185428209,0.9444792506219234,0.6521624206183988,0.11732902173436886,0.0
ERC1,12.839022730879037,12.994509637592081,17.051194315816208,7.790667891707602,13.360344948193498,9.962817789390574
RAD52,0.751062575166499,2.5119310532421197,1.648183521523931,3.3332232933931047,3.351110678586587,1.1958306459855832
WNK1,34.07833985974231,21.168456804191777,73.70627664275717,33.186203296182335,36.51600884272097,69.98846231402472
LOC101929432,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369597,0.0,0.0,0.0,0.0,0.0,0.0
LOC100049716,1.1343839685871258,0.0,5.862607209926555,2.211190748816607,1.9180133493103413,0.0418817219586823
LOC105369595,0.0,0.0,0.0,0.0,8.119747706594792,0.0
NINJ2,0.06067695535476321,0.0,14.362645880962436,2.1542795250138465,0.0,0.0
B4GALNT3,0.025714463045924955,0.0,0.0,1.3426005492014739,0.26086766787013255,1.7088912031308763
LOC105369594,0.0,0.0,0.0,0.0,0.0,0.0
CCDC77,0.0,0.0,2.004122111594152,2.062954497499293,0.07953028661324071,0.039074008754748285
