Gene,59yo tumor periphery astro,59yo tumor core astro,64yo tumor core astro,65yo tumor core astro,21yo Hippocampus astro,22yo Hippocampus astro,53yo A Hippocampus astro,53yo B Hippocampus astro,Fetal ctx 1 astro,Fetal ctx 2 astro,Fetal ctx 3 astro,Fetal ctx 4 astro,Fetal ctx 5 astro,Fetal ctx 6 astro,8yo ctx astro,13yo ctx astro,16yo ctx astro,21yo ctx astro,22yo ctx astro,35yo ctx astro,47yo ctx astro,51yo ctx astro,53yo ctx astro,60yo ctx astro,63yo ctx 1 astro,63yo ctx 2 astro,25yo ctx neuron,22yo ctx oligo,63yo ctx A oligo,63yo ctx B oligo ,47yo ctx oligo,63yo ctx 3 oligo,45yo ctx myeloid,51yo ctx myeloid,63 yo ctx myeloid,47 yo ctx endo,13yo ctx endo,45yo whole cortex,63yo whole cortex,25yo whole cortex,53yo whole cortex,Mouse 1 month astro,Mouse 4 month astro,Mouse 7 month astro,Mouse 9 month astro
Gpr18,0.1,0.2,0.2,0.1,0.9,0.3,0.4,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.9,0.6,0.1,0.8,1.3,0.5,0.7,0.9,0.3,0.3,0.5,0.5,0.9,0.3,0.4,0.2,1.9,1.2,1.9,0.1,0.1,1.2,0.9,0.9,0.8,0.1,0.1,0.5,0.1
Gpr180,0.3,1.4,0.8,1.6,3.5,1.9,1.4,1.8,0.3,0.4,0.4,1.9,0.5,1.2,1.4,1.6,2.3,2.5,1.2,2.0,0.9,1.5,2.0,1.8,1.7,1.6,1.8,1.3,2.5,2.3,1.5,1.4,0.3,0.4,0.6,0.5,0.2,1.4,1.6,1.2,1.6,2.0,1.9,3.2,2.2
Gpr182,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Gpr183,0.1,0.3,1.4,0.4,5.4,1.7215099396916171,2.147727610277467,8.3,0.1,2.0,1.6,0.1,2.6,0.1,0.3,0.2,0.6,3.0,4.3,1.0,5.8,3.5,2.0,1.5,0.8,4.6,2.6,1.3145833333334283,5.5,1.550993577635022,1.7907147628589037,0.9340251477050561,0.783307668617348,1.1622564258095514,1.3535963052696085,0.5,0.9,1.0,1.6,1.5,2.0,0.1,0.7,0.4,0.2
Gpr20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr21,0.1,0.1,0.1,0.1,0.6,0.4,0.2,0.1,0.1,3.7,0.4,0.1,0.1,0.1,1.1,3.2,0.1,1.0,1.9,0.6,0.5,1.6,1.5,2.1,1.0,0.8,0.6,0.1,0.1,0.1,0.1,0.3,1.3,0.3,0.2,0.1,0.2,0.4,0.8,0.4,0.1,0.4,0.1,0.6,0.7
Gpr22,0.1,0.1,0.2,0.3,0.5,0.1,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3,0.1,0.2,4.9,0.1,0.1,0.5,1.7,0.2,0.7,0.3,0.3,0.1,0.1,1.5,0.6450249886416404,2.3,3.3,0.1,0.3,0.1,0.2
Gpr25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,1.3,0.4,1.1,0.7,0.1,0.2,0.1,0.5
Gpr27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
